Country,CountryCode,Rural,Military,Cell,Fertility,Measles,InfMort,LifeExp,TotalGunDeathsaths per 100k,Gunsper100,logCO2,logGNI,logEnergyUse,logImports,logExports
Georgia,GEO,46.174,2.437635218,140.9459916,1.996,93,9.5,73.261,1.98,7.3,0.920896904,8.250620082,7.071463346,4.083036832,3.77515447
Germany,DEU,24.49,1.195846122,126.3143677,1.5,97,3.2,80.64146341,1.01,30.3,2.196042812,10.69239936,8.237336929,3.641474004,3.831230241
Ghana,GHA,45.318,0.38237993,135.8012103,3.984,89,41.2,62.742,,,-0.451718423,7.237059026,5.814281354,3.876663417,3.715530392
Gibraltar,GIB,0,,119.5535922,,,,,,,2.748134959,,8.658519934,,
Greece,GRC,21.671,2.576474722,112.1177165,1.33,97,3.1,81.03658537,1.52,22.5,1.837423684,9.845328638,7.661008307,3.439813312,3.416372736
Greenland,GRL,13.192,,,2,,,,,,2.207084914,,,3.827287342,3.66307349
Grenada,GRD,64.384,,110.8612801,2.104,95,14.4,73.659,,,0.865207229,9.116029693,,3.958191671,4.02720628
Guam,GUM,5.407,,,2.347,,,79.575,,,,,,3.935059601,2.965413645
Guatemala,GTM,47.97,0.423753092,110.1435498,2.973,86,23.9,73.409,34.1,13.1,0.223925641,8.240121298,6.721539569,3.312831495,2.972571222
Guinea,GIN,62.349,1.862411575,87.12541316,4.855,54,58.3,60.015,,,-1.17930419,6.579251212,,4.401197061,3.381781959
Guinea-Bissau,GNB,49.906,,70.81766902,4.633,81,57.8,57.403,,,-1.357741242,6.461468176,,3.443749402,3.277450886
Guyana,GUY,71.339,1.458081403,75.60542245,2.51,99,26.9,66.65,,,1.005161295,8.352318548,,3.99789003,3.825253753
Haiti,HTI,40.206,0.000846301,59.95952554,2.919,53,50.9,63.33,,,-0.992797694,6.672032945,5.973303552,3.963097246,3.03118841
Honduras,HND,44.685,1.63222957,85.95321319,2.462,88,16,73.575,67.18,6.2,0.161456888,7.677863501,6.409952242,4.058319091,3.752110973
"Hong Kong SAR, China",HKG,0,,240.7962077,1.205,,,84.22682927,0.03,,1.870817157,10.66825748,7.586034542,5.218781083,5.231103009
Hungary,HUN,28.328,1.024265168,120.7789256,1.45,99,4.4,75.56829268,0.95,5.5,1.473749905,9.433483923,7.74694742,4.375201048,4.49465009
Iceland,ISL,5.77,0,120.7953103,1.8,91,1.6,82.46829268,1.25,30.3,1.81802116,10.91454286,9.793456169,3.738667223,3.879035653
India,IND,66.864,2.494967862,85.1709257,2.326,88,34.6,68.56,0.28,4.2,0.604316203,7.426549072,6.457442318,3.04615239,2.960877978
Indonesia,IDN,45.534,0.790697076,147.6639506,2.363,76,22.2,69.191,,,0.651993526,8.13446757,6.784356353,2.907881052,2.950784689
"Iran, Islamic Rep.",IRN,26.121,2.87595257,100.3024773,1.661,99,13,75.953,,,2.126208325,8.607033895,8.014167218,3.035454392,3.109240773
Iraq,IRQ,30.408,3.481380365,81.18551588,4.37,66,25.9,69.862,,,1.591648553,8.597851094,7.253821528,3.711113778,3.481906359
Ireland,IRL,36.465,0.328667682,103.1537143,1.92,92,3,81.60731707,0.8,3.89,2.003361986,10.89507127,7.916287809,4.600917762,4.800591853
Isle of Man,IMN,47.719,,,,,,,,,,,,,
Israel,ISR,7.795,4.654134045,129.0310295,3.11,97,2.9,82.40731707,2.09,7.3,2.074828587,10.49819466,7.923893494,3.338565837,3.41006757
Italy,ITA,30.884,1.517296102,152.9988959,1.35,85,2.8,82.54390244,1.31,11.9,1.680989308,10.36407196,7.789240879,3.279011104,3.39455983
Jamaica,JAM,44.97,0.95620345,113.3960932,2.009,95,13.2,75.97,30.72,8.1,0.990735785,8.440312147,6.888890695,3.805209334,3.445740616
Japan,JPN,6.072,0.939734417,130.6103289,1.44,96,2,83.98487805,0.06,0.6,2.265786878,10.54534144,8.152129771,2.717830873,2.780008165
Jordan,JOR,16.095,4.577906942,103.835148,3.378,96,15.1,74.329,,,1.132212985,8.273846933,6.833592433,4.028455716,3.559410315
Kazakhstan,KAZ,46.771,0.933551765,141.9567198,2.73,99,10.1,72.3,,,2.6716054,9.082507,8.397201521,3.34877039,3.460845484
Kenya,KEN,73.945,1.316646775,80.43938819,3.852,75,35.6,67.032,,,-0.890585672,7.229838778,6.241106859,3.125889668,2.636999395
Kiribati,KIR,55.553,,45.45653219,3.651,80,42.4,66.317,,,-0.408918529,7.937374696,,4.560270111,2.406621762
"Korea, Dem. People’s Rep.",PRK,38.952,,14.21441135,1.91,99,15.1,71.685,,,0.538594577,,6.161711593,,
"Korea, Rep.",KOR,17.408,2.611357388,120.679705,1.172,98,2.9,82.02439024,0.08,1.1,2.457051044,10.22882662,8.573436622,3.567520272,3.744413529
Kosovo,XKX,,0.773571852,,2.06,,,71.64634146,,,,8.263590433,7.101085654,3.930045041,3.147960909
Kuwait,KWT,1.642,5.814227645,133.0708012,1.97,93,7.2,74.694,0.36,24.8,3.231747209,10.45995553,9.100170567,3.837925594,3.876028684
Kyrgyz Republic,KGZ,64.15,3.344017776,127.8352593,3.1,97,18.8,70.95121951,1.01,0.9,0.557553857,7.012115294,6.477589877,4.248469029,3.578657387
Lao PDR,LAO,60.346,,58.57211069,2.698,76,48.9,66.683,,,-0.923313122,7.673223121,,3.734866282,3.502832871
Latvia,LVA,32.639,1.475991547,134.4954403,1.7,93,3.9,74.52926829,1.43,19,1.280431742,9.586719899,7.685631082,4.079998692,4.09504412
Lebanon,LBN,12.086,5.25507783,81.41840951,1.719,79,6.9,79.584,,,1.480634196,8.983439772,7.19845731,3.852682151,3.23846177
Lesotho,LSO,72.16,1.812273155,103.5890392,3.094,90,72.4,54.174,,,0.223232373,7.146772179,,4.420445297,3.743495546
Liberia,LBR,49.9,0.695335554,67.55790155,4.581,80,51.2,62.505,,,-1.161655405,5.913503006,,4.607926973,3.064249068
Libya,LBY,21.246,,121.7187359,2.274,97,11,71.934,,,2.228598925,8.538954683,7.965595548,,
Liechtenstein,LIE,85.717,,117.6073913,1.4,,,82.65609756,,,0.250936974,,,,
Lithuania,LTU,33.488,1.487522545,144.5781293,1.7,94,4.3,74.32195122,,,1.499196644,9.601706556,7.777907909,4.292630654,4.310147213
Luxembourg,LUX,9.568,0.444796124,132.6971743,1.47,99,2,82.29268293,1.19,15.3,2.860034042,11.17871068,8.833624029,5.226624397,5.399373622
"Macao SAR, China",MAC,0,,321.8030374,1.311,,,83.849,,,0.824106476,11.08414055,,3.541403891,4.331683051
"Macedonia, FYR",MKD,42.796,0.944628399,98.52431715,1.533,82,10.7,75.703,1.69,,1.312362038,8.515191189,7.140893983,4.169921181,3.911476838
Madagascar,MDG,64.259,0.594003322,32.12852885,4.184,58,34,65.932,,,-1.467845817,5.991464547,,3.576810855,3.51144752
Malawi,MWI,83.546,0.643381292,39.67804904,4.571,81,38.9,63.223,,,-1.744325023,5.768320996,,3.80534599,3.495504583
Malaysia,MYS,24.63,1.406366859,140.8029848,2.037,96,7.1,75.3,,,2.095928824,9.196241448,7.995489045,4.11050438,4.21460186
Maldives,MDV,53.46,,189.8577694,2.093,99,7.3,77.339,,,1.214782127,9.075665469,,4.327271482,4.31130288
Mali,MLI,59.317,2.582730464,112.3527654,6.057,75,68,57.966,,,-1.697020379,6.65929392,,3.676208245,3.131737947
Malta,MLT,4.471,0.529179735,123.9364452,1.45,93,5.9,81.79756098,,,1.704859715,10.07912012,7.485213469,4.831596458,4.913456921
Marshall Islands,MHL,27.06,,,,75,29.1,,,,0.713448979,8.440312147,,4.429785922,3.315676426
Mauritania,MRT,39.554,2.903682379,84.03061787,4.674,70,54.4,63.238,,,-0.26550002,7.029972912,,4.14911597,3.614976468
Mauritius,MUS,60.452,0.187710602,143.725062,1.4,92,12.2,74.39487805,,,1.239275411,9.188094763,7.013395707,3.986129992,3.797371812
Mexico,MEX,20.483,0.559230201,87.6018727,2.184,96,12.6,77.118,7.64,15,1.377818823,9.106090351,7.322021019,3.666143151,3.614220921
"Micronesia, Fed. Sts.",FSM,77.519,,22.31052917,3.145,70,27.5,69.195,,,0.435305912,8.174702882,,4.282262341,3.281661136
Moldova,MDA,54.911,0.43701116,93.32157194,1.241,88,13.7,71.61,1.03,7.1,0.39664576,7.668561108,6.833392414,4.266474529,3.768851711
Monaco,MCO,0,,86.48796073,,99,2.8,,,,,,,,
Mongolia,MNG,27.177,0.863734809,111.236547,2.757,98,15.4,69.287,,,1.977869168,8.185907481,7.516563577,3.816035246,3.91632703
Montenegro,MNE,35.777,1.411279207,165.5619099,1.667,47,3.5,77.116,8.91,23.1,1.29638929,8.870663004,7.338409852,4.141916549,3.700336968
Morocco,MAR,39.315,3.211415198,117.6805988,2.491,99,23.3,75.821,,,0.612143164,7.962067309,6.315545974,3.81398265,3.557924163
Mozambique,MOZ,67.492,1.031204935,52.11887306,5.243,91,53.1,58.311,,,-0.892411604,6.173786104,6.058184351,4.305943541,3.602167366
Myanmar,MMR,65.35,3.806909581,95.65321489,2.207,91,40.1,66.612,,,-0.660485698,7.081708586,5.918541402,3.089794667,2.838635805
Namibia,NAM,52.375,3.681349828,107.2685024,3.415,85,32.3,64.388,,,0.521010779,8.459564079,6.635441139,4.158354463,3.716934538
Nauru,NRU,0,,87.24773068,,98,28.5,,,,1.416302336,9.282661034,,4.622374408,3.888100032
Nepal,NPL,81.005,1.538154816,110.8255142,2.118,83,28.4,70.253,,,-0.958315205,6.593044534,6.022780259,3.673341403,2.250506645
Netherlands,NLD,8.968,1.173059927,122.9740047,1.66,94,3.2,81.5097561,0.58,3.9,2.304596876,10.74957039,8.372288501,4.268862458,4.412173917
New Caledonia,NCL,29.262,,,2.08,,,76.96150074,,,2.779187635,,,,
New Zealand,NZL,13.678,1.106452776,124.4412748,1.87,92,4.5,81.61243902,1.07,30,2.052401203,10.55997075,8.425054269,3.238879332,3.251061147
Nicaragua,NIC,40.893,0.644813984,125.944759,2.2,99,16.8,75.404,4.68,7.7,-0.095937435,7.649692624,6.411829961,4.025229164,3.666173401
Niger,NER,80.99,2.185323903,42.18055668,7.239,74,50.9,60.058,,,-1.555548791,5.913503006,5.015517511,3.502654029,2.783005773
Nigeria,NGA,51.403,0.432947785,82.98428235,5.526,51,66.9,53.428,,,-0.43754091,7.803843304,6.637770833,2.442730369,2.221169995
Northern Mariana Islands,MNP,10.791,,,,,,,,,,,,4.275278504,4.298522495
Norway,NOR,19.266,1.61682652,109.037158,1.72,96,2.1,82.5097561,1.75,31.3,2.237613959,11.31459647,8.629745616,3.504751987,3.530371301
Oman,OMN,21.912,15.83443606,155.1780638,2.666,99,9.2,77.029,,,2.743621133,9.692766521,8.722868774,3.572109031,3.718945594
Pakistan,PAK,60.776,3.59474547,70.64521655,3.481,61,64.2,66.481,,,-0.003742891,7.313220387,6.183004357,2.782570276,2.213286769
Palau,PLW,12.364,,,,96,13.7,,,,2.521134434,9.437475945,,4.278966102,3.989749137
Panama,PAN,33.105,0,127.4570235,2.514,90,14.1,78.001,15.11,21.7,0.85624827,9.391828248,6.983910579,3.82654502,3.722799671
Papua New Guinea,PNG,86.961,0.397198511,46.77803599,3.658,70,42.4,65.544,,,-0.089215105,7.835974582,,,
Paraguay,PRY,40.076,1.251436261,111.3625428,2.48,99,17,73.12,7.76,17,-0.03023316,8.308938253,6.670372862,3.676858514,3.731664312
Peru,PER,21.076,1.32367625,116.2376413,2.4,88,11.9,74.983,5.53,18.8,0.738830595,8.691146499,6.643385369,3.12748527,3.110765203
Philippines,PHL,55.711,1.22065873,109.3687158,2.925,80,21.5,69.094,8.9,4.7,0.144495803,8.183118079,6.165931849,3.609182306,3.331010475
Poland,POL,39.469,1.943520978,138.6595006,1.32,96,4,77.45121951,0.26,1.3,2.030402492,9.447781228,7.813351784,3.875619034,3.956228484
Portugal,PRT,35.983,1.739840848,111.5744425,1.31,98,2.9,81.12682927,1.58,8.5,1.488750319,9.895959286,7.618011575,3.663778128,3.692092112
Puerto Rico,PRI,6.431,,88.66581259,1.3,,,79.78831707,,,,9.876116356,,3.719498049,4.225546826
Qatar,QAT,0.683,,142.1345363,1.907,99,7.3,78.184,0.15,19.2,3.818222964,11.10751036,9.828907687,3.728711636,3.860489251
Romania,ROU,45.251,1.408554536,115.78473,1.58,86,7.7,75.01219512,0.14,0.7,1.285410945,9.161150128,7.372537588,3.743235101,3.721703306
Russian Federation,RUS,25.899,5.391616177,159.154605,1.75,98,6.6,71.59292683,,,2.481361019,9.181940897,8.505702529,3.021711909,3.246451183
Rwanda,RWA,70.225,1.272950005,74.86072592,3.885,95,29.2,67.129,,,-1.748605469,6.56526497,,3.499716557,2.703168611
Samoa,WSM,81.045,,77.39039078,3.976,68,14.8,75.013,,,0.122030306,8.323608442,,3.909038114,3.378832412
San Marino,SMR,5.784,,110.1406499,,62,2.5,,,,,,,,
Sao Tome and Principe,STP,34.353,,89.06357861,4.456,93,26.2,66.624,,,-0.364793784,7.455876687,,,
Saudi Arabia,SAU,16.669,9.872738577,148.5096847,2.532,98,11.1,74.561,,,2.977021911,9.988747396,8.844657936,3.424842915,3.438627958
Senegal,SEN,55.935,2.076018937,98.53922503,4.769,93,33.6,67.146,,,-0.344169017,6.856461985,5.606103498,3.782691043,3.366313799
Serbia,SRB,44.332,1.854184564,130.2350029,1.46,82,5.1,75.23902439,3.49,37.82,1.683157022,8.5754621,7.52802467,4.051354001,3.912488227
Seychelles,SYC,45.786,1.540965259,161.1591035,2.78,97,12.3,74.3097561,,,1.708138332,9.553930076,,,
Sierra Leone,SLE,59.682,0.840174807,84.89871136,4.457,83,83.3,51.835,,,-1.255526829,6.173786104,,3.998235734,3.215433638
Singapore,SGP,0,3.190876826,150.4805285,1.2,95,2.2,82.79512195,0.16,0.5,2.342414458,10.86570722,8.541262062,4.956278685,5.125106008
Sint Maarten (Dutch part),SXM,0,,,,,,,,,2.973554358,,,,
Slovak Republic,SVK,46.532,1.117628681,128.3912951,1.4,95,4.9,76.56341463,,,1.751211973,9.741556685,7.987249021,4.512204746,4.549917592
Slovenia,SVN,50.373,1.00491008,114.8178753,1.57,92,1.8,80.77560976,2.64,13.5,1.842719792,9.98506754,8.082166219,4.226806369,4.352264281
Solomon Islands,SLB,77.221,,69.49596192,3.85,99,21.8,70.726,1.83,8.3,-0.797509649,7.539027056,,,
Somalia,SOM,59.97,3.07071E-05,46.46627922,6.267,46,82.6,56.293,,,-1.93069936,,,4.130999915,2.71523469
South Africa,ZAF,34.705,1.073387991,147.1252059,2.458,75,34.2,62.774,8.3,12.7,2.206087331,8.610683535,7.899425715,3.404124015,3.424347257
South Sudan,SSD,80.97,4.598269133,22.07554251,4.855,20,59.2,56.811,,,-1.470766344,5.966146739,4.106375163,4.123074196,4.006412158
Spain,ESP,20.198,1.132965646,111.163326,1.33,97,2.7,82.83170732,0.62,10.4,1.635850896,10.22484615,7.809801555,3.398841504,3.494888152
Sri Lanka,LKA,81.593,2.130004115,124.0339877,2.046,99,8,75.284,,,-0.01455967,8.240121298,6.245495635,3.356048081,3.060247849
St. Kitts and Nevis,KNA,67.847,,139.6964667,,98,7.6,,,,1.481364717,9.660778846,,4.03475511,4.042802231
St. Lucia,LCA,81.46,,99.23208718,1.459,99,11.8,75.496,,,0.878460641,9.040737588,,,
St. Martin (French part),MAF,,,,1.81,,,79.62195122,,,,,,,
St. Vincent and the Grenadines,VCT,49.101,,102.7416251,1.931,99,15.2,73.179,,,0.698803856,8.820256366,,3.988822769,3.620301176
Sudan,SDN,65.993,2.855727713,70.25800006,4.532,86,44.8,64.486,,,-0.91695946,7.668561108,5.942468194,2.527892483,2.285322118
Suriname,SUR,33.985,,144.5070276,2.372,97,17.8,71.405,,,1.31748525,8.852235835,7.138462393,3.994879501,3.907704192
Swaziland,SWZ,78.685,1.808999318,74.08245713,3.084,89,52.4,57.754,37.16,6.4,0.028310443,7.992944547,,3.964218056,3.902302882
Sweden,SWE,14.036,1.055461744,127.5033893,1.85,97,2.4,82.20487805,1.47,31.6,1.521302015,10.90650629,8.510457743,3.674638394,3.790380144
Switzerland,CHE,26.01,0.683786261,133.8068226,1.54,94,3.6,82.89756098,3.01,24.45,1.484229047,11.31544966,8.026149524,3.999830591,4.186791749
Syrian Arab Republic,SYR,41.939,,72.43370524,2.916,62,14.2,70.31,,,0.529980075,,6.332454073,,
Tajikistan,TJK,73.109,,107.6136546,3.36,97,37.1,71.051,,,-0.327856048,7.012115294,5.815280469,3.755846122,2.58601385
Tanzania,TZA,67.684,1.148750564,72.05794494,5.016,90,40.3,65.675,,,-1.135232584,6.802394763,6.164213264,3.124069899,2.975136891
Thailand,THA,48.46,1.427222326,173.7770745,1.482,99,10.5,75.303,,,1.552202796,8.648221454,7.585602845,3.980577395,4.221136287
Timor-Leste,TLS,66.599,1.039941299,117.6131558,5.503,78,42.4,68.881,,,-0.719462404,7.736307097,,3.610732597,0.826278781
Togo,TGO,59.537,1.86938674,72.37908628,4.45,87,50.7,60.232,,,-0.770683101,6.396929655,6.123970234,4.140004227,3.75706181
Tonga,TON,76.199,,74.68120461,3.636,84,14.1,73.029,,,0.218304576,8.308938253,,4.221261449,3.059333382
Trinidad and Tobago,TTO,91.648,0.963763488,158.6745272,1.752,86,16.5,70.673,,,3.534073136,9.726750374,9.578224717,,
Tunisia,TUN,32.953,2.346554116,125.2457019,2.201,96,11.7,75.731,,,0.988447504,8.213381737,6.849709804,3.932880193,3.698551844
Turkey,TUR,26.113,2.067542609,94.40247616,2.053,98,10.9,75.755,1.95,,1.5242022,9.326344048,7.363804483,3.212880441,3.089454044
Turkmenistan,TKM,49.604,,151.4337019,2.888,99,43.4,67.835,,,2.535068519,8.827614751,8.495660518,,
Turks and Caicos Islands,TCA,7.498,,,,,,,,,1.82236747,,,,
Tuvalu,TUV,39.38,,68.48697846,,96,21.4,,,,0.103031072,8.542860938,,,
Uganda,UGA,83.556,2.158044968,55.04846044,5.591,82,37.7,59.889,,,-1.449634663,6.445719819,,3.35480779,2.922167323
Ukraine,UKR,30.085,3.67198141,135.1956556,1.466,42,7.8,71.47634146,0.24,6.6,1.633300339,7.745002804,7.755513262,4.016731491,3.897682564
