COUNTRY_NAME,Agricult,illitfem,illitmal,imports,exports,gnipc,inflat,deforest,urban,fertilit,mortalit,popgrow,lifexp
Maldives,11.74,3.21,3.38,85.57,103.79,1960,-5.12,0,27.6,4.2,27.8,2.46,68.29
Mali,41.19,65.6,51.09,38.98,25.74,240,0.42,0.72,30.19,6.3,120.4,2.39,42.27
Mauritania,21.18,69.93,49.25,52.71,40.04,380,11.42,2.66,57.75,5.7,100.6,3.39,51.66
Mauritius,5.86,18.73,12.17,65.29,63.33,3660,6.15,0.6,41.29,2.02,15.6,0.99,71.67
Mexico,4.1,10.49,6.58,33.01,31.06,5110,11.98,1.08,74.37,2.59,29.2,1.44,72.97
Moldova,27.98,1.75,0.46,76.85,49.69,400,27.33,-0.22,41.58,1.43,18.4,-0.19,67.76
Mongolia,33.3,1.21,0.9,81.89,65.48,390,11.57,0.55,56.59,2.62,56,0.82,66.96
Morocco,13.52,63.92,38.15,37.36,31.22,1180,1.55,0.04,55.46,2.89,46.6,1.64,67.47
Mozambique,24.4,71.32,39.91,39.33,15.17,230,-2.73,0.21,32.11,5.12,129.3,2.24,42.4
Nepal,40.28,76.03,40.44,32.01,23.75,240,4.29,1.81,11.85,4.27,73.6,2.39,58.86
Netherlands,2.97,1,1,55.82,60.55,24970,3.52,-0.27,89.49,1.7,4.94,0.72,77.87
Niger,38.78,91.57,76.23,23.14,15.46,180,4.5,3.74,20.57,7.22,114,3.34,45.71
Nigeria,29.51,44.27,27.58,41.13,36.9,260,25.38,2.55,44.07,5.28,84.42,2.4,46.83
Norway,1.85,0,0,30.45,46.61,34530,16.27,-0.36,74.71,1.85,3.9,0.69,78.6
Pakistan,26.3,72.14,42.54,19.09,15.54,440,3.72,1.14,33.1,4.68,83.33,2.41,62.96
Panama,6.66,8.75,7.47,38.43,32.71,3280,2.08,1.65,56.25,2.5,19.92,1.59,74.55
Paraguay,20.56,7.83,5.62,35.37,20.27,1440,8.93,0.51,55.98,3.97,23.2,2.53,70.36
Peru,7.9,14.69,5.34,17.86,15.98,2080,3.65,0.4,72.77,2.78,31.75,1.69,69.31
Philippines,15.93,4.87,4.54,50.17,56.3,1040,6.67,1.42,58.55,3.4,30.72,1.85,69.27
Portugal,3.83,10.06,5.25,43.31,31.39,11120,3.16,-1.7,64.43,1.51,5.5,0.19,75.65
Romania,12.8,2.74,0.97,39.68,33.9,1690,44.06,-0.23,55.08,1.31,18.7,-0.1,69.86
Samoa,16.6,20.97,18.78,81.71,32.62,1420,2.57,2.11,22.06,4.25,21.55,0.57,69.08
Saudi Arabia,7.04,33.08,16.94,25.73,49.57,7230,16.08,0,86.17,5.46,18.2,2.57,72.51
Senegal,18.15,72.36,52.69,39.56,30.54,490,0.73,0.7,47.44,5.1,59.6,2.59,52.31
Singapore,0.14,11.62,3.73,161.45,179.91,24740,1.84,0,100,1.48,2.9,1.66,77.65
South Africa,3.2,15.43,14.02,25.67,28.59,3060,6.99,0.09,56.87,2.88,62.78,1.64,47.81
Spain,3.63,3.21,1.44,32.23,29.92,15080,3.46,-0.62,77.61,1.23,3.86,0.12,78.15
Sri Lanka,19.54,11.01,5.58,50.5,39.71,850,7.1,1.64,22.8,2.12,14.95,1.65,73.14
Sudan,37.19,53.71,30.55,16.63,17.14,350,2.64,1.44,36.12,4.6,81.2,1.73,56.17
Sweden,2.03,0,0,42.07,47.41,27140,0.83,0,83.28,1.55,3.4,0.13,79.65
Switzerland,1.62,0,0,36.99,42.14,38140,1.07,-0.37,67.41,1.47,3.67,0.56,79.7
Syrian Arab Republic,23.59,39.54,11.73,33.83,37.34,950,2.82,0,51.42,3.62,24,2.48,69.73
Tanzania,45.08,33.45,16.05,23.19,14.68,270,9.08,0.23,32.25,5.3,92.76,2.32,44.35
Thailand,10.45,6.12,2.85,58.92,66.97,2010,1.17,0.73,19.83,1.9,27.92,0.8,68.82
Togo,37.64,57.51,27.61,49.8,35.49,290,1.26,3.38,33.36,5.02,75.28,3.1,49.3
Turkey,15.36,23.45,6.52,31.53,24.05,3080,49.9,-0.22,65.76,2.36,34.45,1.47,69.7
Uganda,42.47,43.17,22.45,25.73,10.14,300,3.29,1.95,14.16,6.24,83,2.69,42.13
United Kingdom,1.04,0,0,29.12,27.21,24430,1.8,-0.81,89.48,1.68,5.6,0.4,77.33
United States,2,0,0,13.47,10.72,34100,2.21,-0.17,77.21,2.13,7.1,1.19,77.06
Uruguay,6.04,1.87,2.68,20.71,19.3,6080,3.63,-5.03,91.91,2.23,13.83,0.72,74.38
"Venezuela, RB",5,7.9,6.93,16.32,28.45,4310,27.63,0.43,86.93,2.82,19.35,1.93,73.35
Vietnam,24.3,8.63,4.47,51.7,43.56,390,5.26,-0.54,24.08,2.23,27.48,1.29,69.05
"Yemen, Rep.",14.05,74.82,32.48,35.44,46.13,420,21.95,1.85,24.71,6.16,76,2.66,56.48
Zambia,22.3,28.51,14.79,39.68,17.28,310,30.05,2.38,39.62,5.27,114.5,2.08,37.97
Zimbabwe,18.49,15.34,7.2,27.15,29.4,440,59.89,1.54,35.31,3.77,69.02,1.91,39.93
