Country,Fertility,GNI,Imports,Inflations,Lifeexp,InfMort,Military,Exports,Internet,Cellphone,Urban,Debt,Femilit,Malillit,population,Agricult
Ecuador,2.6,3690,37.7,12.1,75.1,25.1,2.8,37.8,28.8,85.6,65.58,7.464183712,,,13481424,8.8
"Egypt, Arab Rep.",2.9,1800,38.8,11.8,70.1,23,2.3,33.2,16.6,50.6,42.72,4.926950194,,,81527172,8.5
El Salvador,2.3,3460,49.8,5.9,71.3,17.9,0.5,27.7,10.6,113.3,60.7,11.30923282,18.64,12.95,6133910,9.8
Equatorial Guinea,5.3,14980,32.1,23.7,50.2,147.5,,78.3,1.8,52.5,39.38,,10.9,3.1,659197,25.3
Eritrea,4.6,300,,18,59.5,58.2,,,4.1,2.2,20.72,,45.5,23,4926877,29.7
Estonia,1.7,14570,79.8,6.7,74,5.6,2.2,75.6,66.2,188.3,69.46,,0.2,0.2,1340675,4.7
Ethiopia,5.3,280,31.2,28.4,55.2,108.5,1.5,11.5,0.4,2.4,17,1.2,,,80713434,37.9
Faeroe Islands,,,,,,,,,,,41.42,,,,48511.8584,2.1
Fiji,2.7,4010,,5.1,68.9,17.7,1.3,,12.2,71.1,52.36,1.2142461,,,844046,14.8
Finland,1.8,47600,40.3,2.7,79.8,3.4,1.3,44.2,82.5,128.5,63.3,,,,5313399,2
France,2,42000,28.9,2.5,81.5,3.9,2.3,26.4,67.9,93.1,77.36,,,,62277432,1
French Polynesia,2.2,,,,74.5,,,,,,51.64,,,,265702,12.4
Gabon,3.3,7320,32,14.7,60.4,77,,66.6,6.2,89.8,85.04,,16.8,9.1,1448159,13.1
"Gambia, The",5.1,400,48.9,5,55.9,105.7,,30,6.9,70.2,56.42,9.1,65.7,43.3,1660200,35
Georgia,1.6,2500,58.3,10,71.5,29.7,8.1,28.7,23.8,64,52.74,2.900219625,0.3,0.2,4307011,8.5
Germany,1.4,42710,41,1.5,80.1,4.3,1.3,47.2,75.5,128.5,73.64,,,,82110097,0.9
Ghana,4,630,75.5,16.9,56.6,76.1,0.7,42.5,4.3,49.6,50.02,3.6,40.7,27.7,23350927,24.8
Greece,1.5,28400,31.9,3.4,80,4,3.5,23.1,43.1,122.8,61,,4.1,1.8,11237094,5.9
Greenland,2.2,,,,68.4,,,,63.9,99.1,83.52,,,,56328,1.8
Grenada,2.3,5880,70.3,2.8,75.3,14.8,,28.9,23.2,58,30.84,11.71867119,,,103538,8.7
Guam,2.5,,,,75.6,,,,48.4,,93.16,,,,175552,11.4
Guatemala,4.1,2680,39.6,8.5,70.3,34.5,0.5,24.7,14.3,109.2,48.58,5.078439276,31.3,20.5,13686128,14.5
Guinea,5.4,350,38.4,14.9,57.8,145.8,,33.2,0.9,39.1,34.44,8.6,,,9833055,38.7
Guinea-Bissau,5.7,250,49.8,8.9,47.8,195.2,,29.8,2.4,31.7,29.84,4.5,63.5,33.9,1575446,29.8
Guyana,2.3,1450,102.4,5.3,67.1,61.2,,68.3,26.9,,28.38,3.2,,,763437,6.9
Haiti,3.5,,36.8,21.2,61.2,72,,11.1,10.1,32.4,46.84,5.6,,,9876402,22.8
Honduras,3.3,1740,81.6,9.8,72.2,30.6,0.7,48.6,13.1,84.9,47.88,2.8,,,7318789,9.2
"Hong Kong SAR, China",1,31420,201.6,1.4,82.3,,,212.5,67,166,100,,,,6977700,0
Hungary,1.4,12810,80.2,3.9,74,6.5,1.2,81.4,58.5,121.8,67.5,,1.1,0.9,10038188,3.4
Iceland,2.1,40450,47.6,12.2,81.6,2.8,,44.7,90,108,92.26,,,,317414,3.8
India,2.7,1040,28,6.2,63.7,68.8,2.5,22.7,4.5,30.4,29.54,4.886531963,,,1139964932,23
Indonesia,2.2,1880,28.6,18.3,70.8,40.5,1,29.8,7.9,61.8,51.46,5.590253033,,,227345082,21.1
"Iran, Islamic Rep.",1.8,,,,71.4,32.4,,,32,59.8,68.46,,,,71956321.69,9.1
Iraq,4.1,,,,67.9,43.9,,,1,57.1,66.6,,30.8,14,30711152.29,1.5
Ireland,2.1,49770,,-1.2,79.9,3.7,0.6,,62.7,121,61.34,,,,4425675,3.6
Isle of Man,,,,,,,,,,,50.84,,,,80543,0
Israel,3,24720,41.6,1.6,81,4.7,8,40,47.9,122.9,91.66,,,,7308800,0.7
Italy,1.4,35460,29.3,2.8,81.9,3.6,1.8,28.8,41.8,151,68.08,,1.5,0.9,59832179,1.5
Jamaica,2.4,4800,,21.2,71.8,31,0.5,,57.3,101.3,53.3,15.20197554,9.2,19.4,2687200,8.1
Japan,1.3,38130,,-0.9,82.6,3.5,0.9,,75.2,86.4,66.48,,,,127704000,1.3
Jordan,3.5,3470,90.6,15.7,72.7,19.5,5.9,58.2,27,90,78.42,19.52908901,,,5906042.872,2
Kazakhstan,2.6,6160,36.9,21.1,66.4,30.2,1,57.2,10.9,95.1,57.94,0.247320233,0.5,0.2,15674833,7.6
Kenya,4.9,730,41.4,13.1,54.2,127.8,2,27.3,8.7,42.1,21.6,4.584563171,17.2,9.7,38765312,33.1
Kiribati,,2040,,2,,47.9,,,2.1,1,43.84,,,,96558,11.4
"Korea, Dem. Rep.",1.9,,,,67.2,55,,,0,0,62.68,,,,23818753,13
"Korea, Rep.",1.2,21530,54.1,2.7,79.8,5.1,2.6,52.9,75.8,93.8,81.46,,,,48607000,3
Kuwait,2.2,,25.6,,78,11.3,3.2,66.4,36.7,106.6,98.36,,,,2728040.839,0.5
Kyrgyz Republic,2.7,780,93.6,21.2,67.4,38,2.4,56.5,16.1,64.3,36.28,2.760907734,0.9,0.5,5277900,10.1
Lao PDR,3.5,760,44.4,8.2,65,61.2,,32.7,8.5,32.6,30.88,,,,6205341,37.4
Latvia,1.5,11860,54.9,15.2,72.2,9,1.9,41.8,60.4,98.6,68.12,2.69705534,0.2,0.2,2266094,5.1
Lebanon,1.8,6780,56.7,7.7,72,13.3,4.4,27.2,22.5,34,86.96,15.97743865,,,4193758,0.8
Lesotho,3.3,1060,110.8,9.6,45,79.2,2.6,47.3,3.6,28.3,25.46,2.51984919,4.9,17.4,2049429,17
Liberia,5.9,170,172.6,10.4,58.3,144.5,,31.1,0.5,19.3,60.14,0.2,47,36.7,3793400,23.3
Libya,2.7,12380,27.5,25.4,74.3,16.8,1.2,67.4,5.1,76.7,77.54,,18.7,5.1,6294181,1.3
Liechtenstein,1.4,,,,82.6,2.1,,,66,95.4,14.32,,,,35629,0
Lithuania,1.5,11870,70.6,10.3,71.8,7.4,1.6,59.2,54.4,149.6,66.96,,0.3,0.3,3358115,4
Luxembourg,1.6,69390,150.7,1.6,80.5,2.6,,179.3,79.2,144.7,82.44,,,,488650,0.6
"Macao SAR, China",0.9,,49.5,1.6,80.7,,,90.4,49.2,177.2,100,,,,526178,0
"Macedonia, FYR",1.4,4130,78.6,7.2,74.2,11.2,2,52.6,41.5,122.6,66.9,2.518791373,4.6,1.4,2041342,3.7
Madagascar,4.7,420,52,9.5,60.3,106.1,1.1,26.7,1.7,25.3,29.52,1.2,,,19110941,34.7
Malawi,5.5,280,25.5,8.9,53.1,99.7,,22.6,2.1,12,18.8,1.2,34.2,19.8,14846182,33.1
Malaysia,2.6,7250,,10.3,74.4,6.4,2,,55.8,102.6,70.36,1.027432957,10.2,5.7,27014337,6.1
Maldives,2,3640,110.1,13.6,71.6,27.7,,83.5,23.5,142.8,37.86,5.492944131,,,305027,7.5
Mali,6.5,580,,13.6,48.4,193.8,2,,1.6,27.1,32.18,5,,,12705736,20.1
Malta,1.4,,,,79.6,6.2,,,48.3,93.6,94.26,,,,411950,0.5
Marshall Islands,,3270,,4.6,,35.7,,,3.7,1.7,71.08,,,,59667.17723,11.7
Mauritania,4.5,,,,56.7,117.7,3.8,,1.9,65.1,41,3.5,50.5,35.9,3215043,21.5
Mauritius,1.6,6700,67.7,7.6,72.6,16.9,,53,22.2,81.4,42.48,2.18303183,15.2,9.6,1268854,4
Mexico,2.1,9990,30.5,6.5,75.1,17.5,0.4,28.3,22.2,70.8,77.2,,,,191187.3202,0
"Micronesia, Fed. Sts.",3.6,2460,,4.8,68.6,39.3,,,14.5,30.8,22.54,6.175845196,8.55,5.41,106350433.7,7.5
Moldova,1.5,1500,91.5,9.7,68.4,17.4,0.4,40.7,23.4,66.7,41.76,2.498472636,2.2,1,3633369,6.1
Monaco,,,,,,4.1,,,,,100,,,,32715,0
Mongolia,2,1670,71.5,22.4,66.6,41,,57.2,12.5,66.8,57.18,,2.2,3.3,2641216,8.4
Montenegro,1.6,6660,74.7,10,74.1,8.3,1.5,40.3,47.2,118.1,60.18,,,,622344,6.7
Morocco,2.4,2520,50.2,5.9,71.3,36.4,3.3,36.7,33,72.2,56.02,7.040174499,55.9,30.6,31605616,9.8
Mozambique,5.1,380,45.7,7.7,47.9,129.8,0.9,33.3,1.6,19.7,36.84,1.5,59.9,30.5,22382533,37.3
Myanmar,2.3,,,,61.6,97.5,,,0.2,0.7,32.58,,10.8,5.3,49563019,39
Namibia,3.4,4210,61.4,13.7,61,41.5,3,42,5.3,49.4,36.84,,12.3,11.3,2129854,11.9
Nepal,2.9,400,32.7,6.7,66.7,51.4,1.5,12.1,1.7,14.6,17.24,8.269049629,54.6,28.9,28809526,39.4
Netherlands,1.8,49340,68.8,2.7,80.4,4.7,1.4,76.9,87,125.4,81.82,,,,16445593,1.4
Netherlands Antilles,2,,,,76,,,,,,92.68,,3.7,3.7,195253,0
New Caledonia,2.2,,,,76.1,,,,34.5,79.6,64.78,,4.2,3.2,246705,13.4
New Zealand,2.2,27830,,3.6,80.2,5.7,1.1,,71.4,108.2,86.56,,,,4268900,4.3
Nicaragua,2.7,1080,,16.8,73.1,27,0.6,,3.3,54.8,56.74,5.2,,,5667325,6.4
Niger,7.1,330,,7.6,51.4,166.6,,,0.5,12.9,16.54,2.7,,,14704318,27.4
Nigeria,5.7,1170,24.7,11,47.9,186.2,0,41.6,15.9,41.7,48.36,0.538014521,51.2,28.5,151212254,8.1
Northern Mariana Islands,,,,,,,,,,,91.1,,,,85364,10.5
Norway,2,87340,28.8,9.6,80.7,3.5,1.3,48.1,82.5,110.1,77.48,,,,4768212,1.9
Oman,3,,,,75.9,11.7,,,20,115.6,71.62,,19.1,9.97,2785361,11.4
Pakistan,4,950,23.8,16.3,66.5,89.1,3.3,12.8,11.1,53,36.16,8.340657247,60.03,33.16,166111487.1,15
Palau,,8630,,11.1,,14.9,,,,60.2,80.46,,,,20278.73946,9.9
Panama,2.5,6690,74,8.5,75.7,23.3,,74.9,27.5,115.2,73.2,8.968178039,7.2,5.9,3398823,7.4
Papua New Guinea,4.1,1040,60.1,11.6,61.1,69.2,0.4,72.5,1.8,9.1,12.54,,44.4,36.4,6576822,30.9
Paraguay,3,2110,58.8,7.1,71.9,28.4,0.8,53.1,14.3,95.5,60.3,3.609290211,,,6237855,13
Peru,2.6,3990,26.5,2.3,73.3,24.1,1.2,27.1,24.7,72.7,71.4,10.26870575,,,28836700,12.8
Philippines,3.1,1890,38.7,7.5,71.8,32.4,0.8,36.9,6.2,75.4,64.92,10.01558498,6.1,6.7,90348437,14.7
Poland,1.4,11730,43.5,3,75.5,6.9,2,39.8,49,115.2,61.32,2.376812577,0.7,0.3,38125759,8.1
Portugal,1.4,20680,42.5,1.9,79.2,3.6,2,32.9,42.1,140.4,59.46,,7.1,3.5,10622413,5.2
Puerto Rico,1.8,,,,78.6,,,,25.3,,98.32,,9.6,10.3,3954037,0.5
Qatar,2.4,,,,75.9,10.2,,,34,131.4,95.64,,,,1280862,0.5
Romania,1.4,8280,40.4,11.6,73.4,13.8,1.5,29.9,28.8,113.7,54.24,5.1039593,3.1,1.7,21513622,4.5
Russian Federation,1.5,9660,22,19.2,67.8,13.4,3.5,30.8,31.9,140.6,72.84,5.043236454,0.6,0.3,141950000,4.5
Rwanda,5.4,440,31.2,17.4,50.1,112.2,1.5,14.9,3.1,13.6,18.34,1.1,33.9,25.2,9720694,41.1
Samoa,4,2820,55.4,2.8,71.8,26.2,,33.5,5,69.3,23,,1.5,1,178869,10.1
San Marino,1.5,,,,,1.9,,,54.8,77.4,94.22,,,,31006,3.2
Sao Tome and Principe,3.8,1030,,23.7,65.5,97.5,,,15.5,30.6,60.56,10.1,16.7,6.5,160174,19.4
Saudi Arabia,3.1,17870,37.6,16.9,73.1,21.3,8.2,68.9,31.5,146.1,82.42,,19.8,10.5,24645685.92,2.2
Senegal,4.8,980,47.5,6,55.6,108.3,1.6,25,8.4,44.1,42.38,2.9,,,12211181,30.6
Serbia,1.4,5590,52.4,12.7,73.6,7.2,2.3,29.7,44.9,130.9,52.04,3.610918398,,,7350221,9.2
Seychelles,2.3,10220,152.5,25.3,73.2,11.9,1,130.9,39,107.5,54.34,,,,86956,33.4
Sierra Leone,5.2,320,29.4,11.2,47.6,193.6,2.3,16.3,0.3,18.1,37.76,2.3,71.1,48.3,5559853,23
Singapore,1.3,34760,215.3,1.1,80.7,2.7,4.1,234.3,69.6,131.7,100,,8.4,2.6,4839400,0
Slovak Republic,1.3,16590,85.3,2.9,74.8,8,1.6,83,66,102.1,56.56,,,,5406626,3.8
Slovenia,1.5,24230,,4,79,3.8,1.6,,55.7,101.7,48.6,,0.3,0.3,2021316,0.4
Solomon Islands,3.9,1010,,12.3,66.3,35.9,,,2,5.9,17.96,,,,510672,28.2
Somalia,6.4,,,,49.8,200,,,1.1,7,36.52,,,,8926326,26.4
South Africa,2.5,5820,38.5,10.8,51.5,67.1,1.4,35.4,8.6,92.4,60.74,2.176053262,11.9,10.1,48687000,2.6
Spain,1.5,31930,32.2,3,81.1,4.3,1.2,26.4,55.4,109,77.12,,3.11,1.6,45555716,2.4
Sri Lanka,2.3,1780,38.3,16.3,74.1,15.2,3,24.9,5.8,55,15.1,10.54376266,10.93,7.76,20156204.34,19.4
St. Kitts and Nevis,,10870,71.4,-1.9,,15.5,,40.9,32.5,162.6,32.32,16.85907701,,,49189.938,10.2
St. Lucia,2,5410,75.8,3.2,,12.6,,51.5,58.8,99.6,27.84,6.664376756,,,170204.5601,10
St. Vincent and the Grenadines,2.1,5050,66.6,9,71.7,13.2,,43,60.5,119.2,47.04,13.32065036,,,109117,10.1
Sudan,4.2,1100,23,15.8,58.1,108.9,,23.8,10.2,29,43.44,3.052349682,40.4,21,41347723,16.7
Suriname,2.4,4760,,19,69,27.4,,,9.7,80.8,74.92,,11.6,7,515124,6.2
Swaziland,3.5,2600,80.7,10.1,45.8,83.4,,68.6,6.9,45.5,24.94,,14.4,12.6,1167834,12.1
Sweden,1.9,50910,46.8,3.2,81.2,3,1.3,54.2,87.7,118.1,84.54,,,,9219637,1.3
Switzerland,1.5,55510,,2.2,82.2,4.6,0.8,,75.9,116.3,73.48,,,,7647675,1.9
Syrian Arab Republic,3.2,2160,31.6,20.5,74.2,16.3,3.4,31.3,17.3,34.3,54.22,,22.8,10,20581289.87,6.9
Tajikistan,3.4,600,58.3,27.7,66.7,64.2,,16.7,8.8,53.7,26.46,6.641237594,0.5,0.2,6836083,11.2
Tanzania,5.6,440,,8.9,55.6,103.5,0.9,,1.2,30.6,25.52,1.7,33.7,21,42483923,38
Thailand,1.8,3670,73.9,3.8,68.9,14.1,1.5,76.6,23.9,92,33.32,1.135699558,,,67386383,28.8
Timor-Leste,6.5,2460,,10.7,61.1,92.9,,,,,27.3,,,,1098386,31.3
Togo,4.3,410,,7.2,62.5,97.5,2,,5.4,24,42,9.6,46.3,23.4,6458605,21.7
Tonga,4,2690,70.6,4.8,71.9,19.2,,14.1,8.1,48.7,24.78,,,,103566,10.6
Trinidad and Tobago,1.6,16590,42.3,6.9,69.3,35.3,,73.4,17,112.9,13.22,,1.8,0.9,1333388,3.6
Tunisia,2.1,3480,65.3,5.9,74.3,21.1,1.3,61,27.1,83.3,66.5,7.424126736,30.4,13.6,10327800,7.7
Turkey,2.1,9020,28.4,11.7,71.9,22,2.2,23.9,34.4,89.1,68.68,8.224020278,,,73914260,11.7
Turkmenistan,2.5,2840,50.8,47.3,64.8,47.6,,80.5,1.5,22.5,48.62,,0.7,0.3,5043618,14
Uganda,6.3,420,33.4,6.3,52.7,134.9,,15.6,7.9,27,12.98,1.4,33.2,17.6,31656865,33.3
Ukraine,1.4,3210,47.8,29.1,68.3,15.5,2.7,41.7,10.5,120.4,67.98,1.863081807,0.4,0.2,46258200,5.6
United Arab Emirates,1.9,,,,77.7,7.7,,,65.2,208.6,77.88,,,,4484935,2.1
United Kingdom,1.9,46040,32,2.3,79.9,5.7,2.4,28.9,76,126,89.94,,,,61414062,0.8
United States,2.1,47930,,2.2,78.4,7.8,4.3,,75.9,89,81.7,,,,304060000,0.9
Uruguay,2,8260,32.3,8.8,76,13.9,1.2,28.3,40.2,105.2,92.3,13.20541,1.54,2.17,3334052,5.6
Uzbekistan,2.6,910,31.5,19.9,67.8,38.4,,41.9,9,46.6,36.82,,1,0.5,27313700,10
Vanuatu,4,,58.2,7.8,70.3,32.5,,44.7,7.3,15.4,24.76,,20.5,17,233866,16.2
"Venezuela, RB",2.5,9230,20.2,31.3,73.5,18.1,1.1,30.4,25.7,97,93.32,4.58372199,,,27935000,2.7
Vietnam,2.1,890,94.7,21.7,74.4,13.6,2,78.2,24.2,81.2,27.84,1.699292924,9.8,4.9,86210781,34
Virgin Islands (U.S.),1.9,,,,78.9,,,,27.3,,94.86,,,,109840,9.1
West Bank and Gaza,5,,,,73.5,27,,,9,29.3,71.9,,9.1,2.86,3937309,3.1
"Yemen, Rep.",5.2,960,,18.6,62.9,69.3,4.5,,1.6,16.1,30.64,2.625277323,57.2,21.1,22917485,9.9
Zambia,5.8,950,34.3,10.8,45.4,148,1.8,36.8,5.5,28,35.42,1.2,39,19.4,12620219,24.7
Zimbabwe,3,,,,44.2,95.6,,,11.4,13.3,37.34,,11.2,5.6,12462879,24.9
