Country,No_Point_Helping,Air_Pollution_Industry,Global_Warming_Effect,Gender,Age,Marital_Status,Class,Political_Views,Location
NL-Netherlands,4,1,2,Female,42,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,3,2,,Female,82,Widowed,,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,3,2,2,Female,24,"Single,never married",,Far left etc,"Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,60,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,56,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,4,2,2,Female,22,"Single,never married",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,2,3,Female,38,"Marr,liv as mar",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,5,2,2,Female,37,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,3,2,2,Female,44,Divorced,,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,2,3,3,Female,32,"Single,never married",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,44,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,4,2,3,Female,33,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,3,4,,Female,54,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,3,3,3,Female,27,"Marr,liv as mar",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,2,1,1,Female,66,"Marr,liv as mar",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,4,,,Female,77,Widowed,,,"Rural,RP:total rur"
NL-Netherlands,5,3,1,Female,65,"Single,never married",,,"Rural,RP:total rur"
NL-Netherlands,4,2,2,Female,36,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,3,3,3,Female,35,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,3,2,2,Female,48,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,5,1,3,Female,52,"Marr,liv as mar",,Far left etc,"Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,33,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,57,Widowed,,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,88,Widowed,,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,93,Widowed,,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,2,3,4,Female,76,Widowed,,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,2,3,2,Female,76,Widowed,,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,4,2,2,Female,26,"Single,never married",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,4,2,1,Female,58,"Marr,liv as mar",,Far left etc,"Rural,RP:total rur"
NL-Netherlands,5,4,,Female,47,Divorced,,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,2,2,Female,48,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,5,2,3,Female,37,"Single,never married",,Far left etc,"Rural,RP:total rur"
NL-Netherlands,,3,2,Female,58,"Marr,liv as mar",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,4,2,3,Female,47,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,2,2,3,Female,72,Widowed,,"Left,center left","Rural,RP:total rur"
NL-Netherlands,3,3,3,Female,35,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,5,4,5,Female,44,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,,3,3,Female,49,"Marr,liv as mar",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,3,3,3,Female,40,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,4,3,2,Female,74,Widowed,,,"Rural,RP:total rur"
NL-Netherlands,4,1,3,Female,73,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,2,3,3,Female,47,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,4,2,3,Female,31,"Single,never married",,Far left etc,"Rural,RP:total rur"
NL-Netherlands,3,3,3,Female,58,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,64,Widowed,,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,3,2,2,Female,51,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,2,3,2,Female,86,Widowed,,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,4,1,3,Female,38,"Single,never married",,,"Rural,RP:total rur"
NL-Netherlands,2,4,3,Female,63,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,3,4,Female,38,"Marr,liv as mar",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,4,,3,Female,58,Widowed,,Far left etc,"Rural,RP:total rur"
NL-Netherlands,,3,3,Female,65,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,3,3,3,Female,39,"Single,never married",,,"Rural,RP:total rur"
NL-Netherlands,4,2,3,Female,63,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,4,2,2,Female,37,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,3,2,2,Female,41,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,1,3,Female,41,"Marr,liv as mar",,Far left etc,"Rural,RP:total rur"
NL-Netherlands,1,2,3,Female,52,"Marr,liv as mar",,Far left etc,"Rural,RP:total rur"
NL-Netherlands,1,4,4,Female,73,Widowed,,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,5,2,2,Female,48,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,2,2,2,Female,34,"Single,never married",,,"Rural,RP:total rur"
NL-Netherlands,4,2,3,Female,47,"Marr,liv as mar",,Far left etc,"Rural,RP:total rur"
NL-Netherlands,3,1,3,Female,36,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,3,3,2,Female,36,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,2,3,3,Female,51,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,5,1,2,Female,25,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,51,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,3,2,,Female,38,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,3,1,1,Female,52,Widowed,,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,63,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,2,2,2,Female,53,Divorced,,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,1,2,Female,50,Divorced,,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,39,"Single,never married",,Far left etc,"Rural,RP:total rur"
NL-Netherlands,4,2,1,Female,42,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,2,2,4,Female,35,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,4,2,2,Female,45,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,2,3,Female,31,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,4,1,2,Female,38,"Marr,liv as mar",,Far left etc,"Rural,RP:total rur"
NL-Netherlands,4,1,1,Female,43,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,2,2,Female,72,Widowed,,,"Rural,RP:total rur"
NL-Netherlands,4,2,1,Female,46,"Marr,liv as mar",,Far left etc,"Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,33,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,2,3,4,Female,73,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,2,3,4,Female,79,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,2,3,Female,30,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,2,3,Female,61,"Single,never married",,Far left etc,"Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,37,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,5,3,3,Female,40,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,4,2,2,Female,53,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,2,3,3,Female,77,Widowed,,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,5,1,3,Female,68,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,4,2,3,Female,38,"Marr,liv as mar",,Far left etc,"Rural,RP:total rur"
NL-Netherlands,2,3,,Female,32,Divorced,,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,3,3,2,Female,35,Divorced,,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,4,3,4,Female,79,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,2,2,1,Female,64,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,,2,2,Female,85,Widowed,,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,2,3,2,Female,64,"Marr,liv as mar",,"Other,no specific","Rural,RP:total rur"
NL-Netherlands,3,2,2,Female,81,"Marr,liv as mar",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,66,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,40,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,4,3,2,Female,30,Divorced,,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,5,3,2,Female,33,"Single,never married",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,36,"Single,never married",,,"Rural,RP:total rur"
NL-Netherlands,5,2,1,Female,40,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,5,1,2,Female,52,"Marr,liv as mar",,Far left etc,"Rural,RP:total rur"
NL-Netherlands,2,1,3,Female,47,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,3,2,3,Female,36,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,3,2,3,Female,23,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,3,,4,Female,75,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,2,2,,Female,37,Divorced,,,"Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,37,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,3,1,3,Female,35,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,4,2,,Female,44,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,2,3,3,Female,38,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,2,3,5,Female,80,Widowed,,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,78,Widowed,,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,5,2,1,Female,37,"Marr,liv as mar",,Far left etc,"Rural,RP:total rur"
NL-Netherlands,2,3,2,Female,31,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,74,Widowed,,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,3,3,,Female,58,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,4,2,4,Female,55,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,2,1,2,Female,31,"Marr,liv as mar",,Far left etc,"Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,45,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,4,2,,Female,51,"Marr,liv as mar",,Far left etc,"Rural,RP:total rur"
NL-Netherlands,2,2,3,Female,26,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,3,2,2,Female,27,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,3,2,3,Female,29,"Marr,liv as mar",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,4,1,2,Female,20,"Single,never married",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,4,2,2,Female,36,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,4,2,3,Female,73,Widowed,,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,2,2,Female,43,"Single,never married",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,5,2,2,Female,39,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,4,1,2,Female,27,"Single,never married",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,2,3,3,Female,17,"Single,never married",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,4,2,3,Female,61,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,4,2,3,Female,41,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,3,,Female,41,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,5,1,1,Female,40,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,,,2,Female,23,"Single,never married",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,42,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,17,"Single,never married",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,5,2,2,Female,49,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,4,2,Female,21,"Single,never married",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,4,2,2,Female,,"Single,never married",,Far left etc,"Rural,RP:total rur"
NL-Netherlands,2,2,4,Female,43,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,2,3,2,Female,62,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,3,2,3,Female,41,"Marr,liv as mar",,Far left etc,"Rural,RP:total rur"
NL-Netherlands,3,2,3,Female,42,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,19,"Single,never married",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,5,1,1,Female,46,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,50,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,42,Divorced,,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,2,2,Female,21,"Single,never married",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,3,2,Female,51,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,5,2,2,Female,49,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,,3,3,Female,43,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,3,,Female,21,"Single,never married",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,2,2,4,Female,36,"Marr,liv as mar",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,2,3,3,Female,79,Widowed,,,"Rural,RP:total rur"
NL-Netherlands,,3,3,Female,44,Divorced,,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,2,3,,Female,73,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,3,4,5,Female,51,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,5,3,2,Female,23,"Single,never married",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,3,2,4,Female,19,"Single,never married",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,4,3,2,Female,40,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,4,2,,Female,50,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,4,2,2,Female,19,"Single,never married",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,4,2,2,Female,17,"Single,never married",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,4,2,2,Female,19,"Single,never married",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,4,2,3,Female,46,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,2,2,2,Female,,"Single,never married",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,1,2,2,Female,26,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,,3,,Female,43,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,1,2,3,Female,35,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,2,1,1,Female,67,Widowed,,"Left,center left","Rural,RP:total rur"
NL-Netherlands,2,1,1,Female,29,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,2,2,2,Female,54,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,3,2,2,Female,57,"Marr,liv as mar",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,3,1,2,Female,35,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,4,1,3,Female,41,"Marr,liv as mar",,Far left etc,"Rural,RP:total rur"
NL-Netherlands,3,2,3,Female,53,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,3,2,3,Female,30,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,4,2,3,Female,43,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,4,2,,Female,67,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,2,3,Female,55,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,3,2,,Female,47,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,2,2,1,Female,20,"Single,never married",,,"Rural,RP:total rur"
NL-Netherlands,2,2,3,Female,42,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,2,3,3,Female,40,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,4,3,4,Female,67,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,4,3,,Female,,"Single,never married",,,"Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,,"Single,never married",,,"Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,51,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,2,3,3,Female,33,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,4,3,2,Female,45,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,2,2,2,Female,20,"Single,never married",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,2,2,1,Female,,"Single,never married",,,"Rural,RP:total rur"
NL-Netherlands,2,3,4,Female,72,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,3,3,4,Female,36,"Marr,liv as mar",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,4,2,3,Female,44,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,3,4,Female,65,Widowed,,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,4,4,5,Female,39,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,3,2,3,Female,70,Widowed,,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,2,1,1,Female,51,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,3,3,2,Female,29,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,53,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,4,2,3,Female,45,"Marr,liv as mar",,Far left etc,"Rural,RP:total rur"
NL-Netherlands,5,2,2,Female,61,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,1,1,,Female,51,"Marr,liv as mar",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,2,3,3,Female,20,"Single,never married",,,"Rural,RP:total rur"
NL-Netherlands,4,3,2,Female,58,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,2,2,3,Female,47,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,3,1,1,Female,36,"Marr,liv as mar",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,3,2,,Female,31,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,3,3,3,Female,27,"Single,never married",,,"Rural,RP:total rur"
NL-Netherlands,4,2,3,Female,50,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,4,2,4,Female,57,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,3,2,3,Female,29,"Single,never married",,,"Rural,RP:total rur"
NL-Netherlands,3,,2,Female,46,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,5,2,3,Female,34,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,3,1,3,Female,36,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,4,2,2,Female,32,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,4,2,3,Female,45,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,4,2,2,Female,38,Divorced,,,"Rural,RP:total rur"
NL-Netherlands,3,3,4,Female,49,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,3,2,2,Female,36,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,4,2,2,Female,36,"Marr,liv as mar",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,4,3,2,Female,53,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,5,1,1,Female,23,"Single,never married",,,"Rural,RP:total rur"
NL-Netherlands,2,1,2,Female,66,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,56,"Marr,liv as mar",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,2,2,2,Female,53,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
NL-Netherlands,4,2,2,Female,78,Widowed,,,"Rural,RP:total rur"
NL-Netherlands,4,2,3,Female,,"Single,never married",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,2,2,Female,66,"Marr,liv as mar",,"Center,liberal","Rural,RP:total rur"
